Index,Coefficient
0,4.604862928390503e-01
1,3.309487365186214e-03
2,3.321252297610044e-03
3,3.332961816340685e-03
4,3.344612661749125e-03
5,3.356205532327294e-03
6,3.367740428075194e-03
7,3.379215020686388e-03
8,3.390630707144737e-03
9,3.401985159143806e-03
10,3.413280704990029e-03
11,3.424511989578605e-03
12,3.435683669522405e-03
13,3.446791553869843e-03
14,3.457837039604783e-03
15,3.468818962574005e-03
16,3.479735460132360e-03
17,3.490589559078217e-03
18,3.501375904306769e-03
19,3.512098919600248e-03
20,3.522753249853849e-03
21,3.533341456204653e-03
22,3.543863538652658e-03
23,3.554315073415637e-03
24,3.564700018614531e-03
25,3.575015580281615e-03
26,3.585260827094316e-03
27,3.595436923205853e-03
28,3.605540376156569e-03
29,3.615575144067407e-03
30,3.625536803156137e-03
31,3.635425353422761e-03
32,3.645241959020495e-03
33,3.654985688626766e-03
34,3.664653748273849e-03
35,3.674249164760113e-03
36,3.683768212795258e-03
37,3.693212056532502e-03
38,3.702581394463778e-03
39,3.711871802806854e-03
40,3.721084911376238e-03
41,3.730223281309009e-03
42,3.739279927685857e-03
43,3.748259739950299e-03
44,3.757160156965256e-03
45,3.765980713069439e-03
46,3.774720709770918e-03
47,3.783380845561624e-03
48,3.791958326473832e-03
49,3.800454083830118e-03
50,3.808869048953056e-03
51,3.817198798060417e-03
52,3.825446357950568e-03
53,3.833610564470291e-03
54,3.841689322143793e-03
55,3.849683096632361e-03
56,3.857592120766640e-03
57,3.865414997562766e-03
58,3.873151261359453e-03
59,3.880800912156701e-03
60,3.888363484293222e-03
61,3.895835485309362e-03
62,3.903222503140569e-03
63,3.910518717020750e-03
64,3.917726688086987e-03
65,3.924842923879623e-03
66,3.931869752705097e-03
67,3.938805311918259e-03
68,3.945649601519108e-03
69,3.952402155846357e-03
70,3.959063440561295e-03
71,3.965629730373621e-03
72,3.972103353589773e-03
73,3.978484775871038e-03
74,3.984770271927118e-03
75,3.990961704403162e-03
76,3.997059073299170e-03
77,4.003059584647417e-03
78,4.008963238447905e-03
79,4.014771431684494e-03
80,4.020482301712036e-03
81,4.026096314191818e-03
82,4.031610675156116e-03
83,4.037028178572655e-03
84,4.042347427457571e-03
85,4.047566093504429e-03
86,4.052685108035803e-03
87,4.057704471051693e-03
88,4.062623716890812e-03
89,4.067440517246723e-03
90,4.072157200425863e-03
91,4.076771903783083e-03
92,4.081284161657095e-03
93,4.085693974047899e-03
94,4.090000875294209e-03
95,4.094203934073448e-03
96,4.098302219063044e-03
97,4.102297127246857e-03
98,4.106186795979738e-03
99,4.109973087906837e-03
100,4.113652277737856e-03
101,4.117225296795368e-03
102,4.120692610740662e-03
103,4.124054685235023e-03
104,4.127307329326868e-03
105,4.130453802645206e-03
106,4.133492242544889e-03
107,4.136423114687204e-03
108,4.139244556427002e-03
109,4.141957964748144e-03
110,4.144561477005482e-03
111,4.147055558860302e-03
112,4.149440210312605e-03
113,4.151713568717241e-03
114,4.153877031058073e-03
115,4.155929666012526e-03
116,4.157871473580599e-03
117,4.159701056778431e-03
118,4.161418881267309e-03
119,4.163024481385946e-03
120,4.164515994489193e-03
121,4.165896680206060e-03
122,4.167162347584963e-03
123,4.168316721916199e-03
124,4.169355612248182e-03
125,4.170281812548637e-03
126,4.171092994511127e-03
127,4.171789158135653e-03
128,4.172371700406075e-03
129,4.172836430370808e-03
130,4.173188004642725e-03
131,4.173423163592815e-03
132,4.173542372882366e-03
133,4.173545632511377e-03
134,4.173432476818562e-03
135,4.173202905803919e-03
